sample_id,dataset,source_image_path,category_or_subset,provenance_group,proposed_viewpoint,review_status,manual_notes
sample_0140,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/4/1690315811_15-10-11_15_4.jpg,Behavior_Feeding_head_down,cow_15_cam_4,unknown / ambiguous,human_verified,Behavior: Feeding_head_down; Cow: 15; Cam: 4; Note: Ambiguous orientation; lying/feeding cow occluded by feeding stanchion; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0149,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690296671_09-51-11_12_2.jpg,Behavior_Feeding_head_up,cow_12_cam_2,rear-oblique,human_verified,Behavior: Feeding_head_up; Cow: 12; Cam: 2; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0152,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690329251_18-54-11_12_1.jpg,Behavior_Feeding_head_up,cow_12_cam_1,rear-oblique,human_verified,Behavior: Feeding_head_up; Cow: 12; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0156,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/3/1690293746_09-02-26_11_4.jpg,Behavior_Feeding_head_up,cow_11_cam_4,side,human_verified,Behavior: Feeding_head_up; Cow: 11; Cam: 4; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0165,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690321076_16-37-56_16_4.jpg,Behavior_Walking,cow_16_cam_4,side,human_verified,Behavior: Walking; Cow: 16; Cam: 4; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0169,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690337096_21-04-56_4_3.jpg,Behavior_Walking,cow_4_cam_3,rear-oblique,human_verified,Behavior: Walking; Cow: 4; Cam: 3; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0172,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/1/1690306376_12-32-56_6_3.jpg,Behavior_Walking,cow_6_cam_3,side,human_verified,Behavior: Walking; Cow: 6; Cam: 3; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0179,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690272791_03-13-11_1_1.jpg,Behavior_Drinking,cow_1_cam_1,side,human_verified,Behavior: Drinking; Cow: 1; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0183,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690274876_03-47-56_15_1.jpg,Behavior_Drinking,cow_15_cam_1,side,human_verified,Behavior: Drinking; Cow: 15; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0185,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/6/1690303901_11-51-41_3_1.jpg,Behavior_Drinking,cow_3_cam_1,front-oblique,human_verified,Behavior: Drinking; Cow: 3; Cam: 1; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0190,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690342541_22-35-41_11_4.jpg,Behavior_Licking,cow_11_cam_4,unknown / ambiguous,human_verified,Behavior: Licking; Cow: 11; Cam: 4; Note: Ambiguous orientation; dark cubicle / top-down geometry ambiguity; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0195,MmCows,datasets/behavior/mmcows/cropped_bboxes/behaviors/5/1690282631_05-57-11_7_2.jpg,Behavior_Licking,cow_7_cam_2,rear-oblique,human_verified,Behavior: Licking; Cow: 7; Cam: 2; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0201,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/503/503_0130.jpg,ReID_parlor,parlor_cow_0503_sess_007,side,human_verified,Subset: parlor; Cow: 503; Frame: 130; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0204,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/871/871_0057.jpg,ReID_parlor,parlor_cow_0871_sess_006,side,human_verified,Subset: parlor; Cow: 871; Frame: 57; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0206,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/275/275_0115.jpg,ReID_parlor,parlor_cow_0275_sess_006,side,human_verified,Subset: parlor; Cow: 275; Frame: 115; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0210,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/887/887_0547.jpg,ReID_parlor,parlor_cow_0887_sess_029,side,human_verified,Subset: parlor; Cow: 887; Frame: 547; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0215,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/275/275_0060.jpg,ReID_parlor,parlor_cow_0275_sess_005,front-oblique,human_verified,Subset: parlor; Cow: 275; Frame: 60; Note: Front-oblique perspective in parlor entrance / turn; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0220,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/633/633_0562.jpg,ReID_parlor,parlor_cow_0633_sess_033,side,human_verified,Subset: parlor; Cow: 633; Frame: 562; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0228,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/367/367_0191.jpg,ReID_parlor,parlor_cow_0367_sess_014,side,human_verified,Subset: parlor; Cow: 367; Frame: 191; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0235,SideViewCows2026,datasets/id/external/sideviewcows2026/parlor/images/909/909_0364.jpg,ReID_parlor,parlor_cow_0909_sess_034,side,human_verified,Subset: parlor; Cow: 909; Frame: 364; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0241,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/687/687_0022.jpg,ReID_barn,barn_cow_0687_sess_001,side,human_verified,Subset: barn; Cow: 687; Frame: 22; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0245,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/320/320_0011.jpg,ReID_barn,barn_cow_0320_sess_001,side,human_verified,Subset: barn; Cow: 320; Frame: 11; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0250,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/510/510_0342.jpg,ReID_barn,barn_cow_0510_sess_001,side,human_verified,Subset: barn; Cow: 510; Frame: 342; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0255,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/171/171_0426.jpg,ReID_barn,barn_cow_0171_sess_001,side,human_verified,Subset: barn; Cow: 171; Frame: 426; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0260,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/955/955_0234.jpg,ReID_barn,barn_cow_0955_sess_001,side,human_verified,Subset: barn; Cow: 955; Frame: 234; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0265,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/192/192_0021.jpg,ReID_barn,barn_cow_0192_sess_001,side,human_verified,Subset: barn; Cow: 192; Frame: 21; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0270,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/413/413_0058.jpg,ReID_barn,barn_cow_0413_sess_001,side,human_verified,Subset: barn; Cow: 413; Frame: 58; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0277,SideViewCows2026,datasets/id/external/sideviewcows2026/barn/images/594/594_0137.jpg,ReID_barn,barn_cow_0594_sess_001,unknown / ambiguous,human_verified,Subset: barn; Cow: 594; Frame: 137; Note: Ambiguous target orientation; multiple overlapping cows in barn alley; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0281,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/955/955_0007.jpg,ReID_snapshots,snap_cow_0955_sess_001,side,human_verified,Subset: snapshots; Cow: 955; Frame: 7; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0285,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/345/345_0004.jpg,ReID_snapshots,snap_cow_0345_sess_001,side,human_verified,Subset: snapshots; Cow: 345; Frame: 4; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0290,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/207/207_0006.jpg,ReID_snapshots,snap_cow_0207_sess_002,side,human_verified,Subset: snapshots; Cow: 207; Frame: 6; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
sample_0298,SideViewCows2026,datasets/id/external/sideviewcows2026/snapshots/images/465/465_0008.jpg,ReID_snapshots,snap_cow_0465_sess_001,side,human_verified,Subset: snapshots; Cow: 465; Frame: 8; Review provenance: user visual verification/correction after ChatGPT-assisted initial labeling
